Unnamed: 0,Premise,Conclusion,Stance,XLNetLargePredictions,SBERTPredictions,BERTLargePredictions
0,when teenagers are on social media they sometimes bully their peers which is a reason for not having an account.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1,assisted suicide is too risky as someone may not be in the right frame of mind to decide if they really want to die. if you get it wrong then it could end up being murder.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
2,end the blockade so it doesn't keep harming the poorest in the gaza strip.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
3,mandatory use of public defenders makes it more likely that a defendant will have a fair trial.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
4,it isn't just about the denial itself but it's part of a conspiracy against jewish people and is used to hurt and kill jewish people today.  so i think that type of rhetoric should be policed.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
5,social media helps in fast dessimination of vital information across to people all over the world.,social media brings more harm than good.,against,against,against,against
6,"referendums weaken the sovereignty of the parliament, where the decisions are made with thorough discussions and debate among the chosen representatives.",referendums are good for the society.,against,against,in favour of,against
7,psychedelic medicines specifically have the potential to radically transform our mental health care. .,we should legalize non-violent drug offenses.,in favour of,in favour of,in favour of,in favour of
8,the television is no longer a good source of entertainment or information and should be abandoned.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
9,it is possible that this could be used as a murder in some cases.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
10,"home schooling is a good alternative for many. it is economical, safe and and a better environment for some children.  parents have a right to choose what is best for their child.",homeschooling should be banned.,against,against,against,against
11,holocaust denial should be a criminal offence when a group or a person cause chaos where it cant lead up to murder so what better way is to make it as a criminal offence so no one dare to promote it.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
12,homeopathy often gives people hope to cure some illnesses that will never be cured without modern medicine.,homeopathy brings more harm than good.,against,against,against,against
13,"while israel is justified in its claims of self-defense against hamas and other organizations that have used violence against the state, the response to this violence in the blockade is massively disproportionate and therefore unjustified.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
14,"in the uk since 2015, there were over 80 pv-related fires, at least 1/4 of which were actually solar panels catching fire, releasing toxic smoke, and contaminating the ground with cadmium. .",we should promote the use of nuclear energy instead of renewable energy sources.,in favour of,against,in favour of,against
15,we don't need to subsidize vocational education because the cost is already lower than traditional college.,we should subsidize vocational education.,against,against,in favour of,against
16,homeschooling does not give children social interaction.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
17,a more relaxed approach to mental health would help society and individuals. it would be good for every person to be given psychotherapeutic advice once a year in order to be able to diagnose and treat mental disorders and illnesses at an early stage or even to prevent them.,we should promote mental health.,in favour of,in favour of,in favour of,in favour of
18,"children may never have somewhere to call a forever home because they're moved around so much, and therefore can't form attachments to any specific family.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
19,"eu must take action. help those in need, but only those who respect legal boundaries. mutual respect is a cornerstone in this subject where we must set limits to protect europe. .",we should remove illegal immigrants.,in favour of,in favour of,in favour of,in favour of
20,creating a european sustainability tax for all products and services from inside and outside the eu based on the sustainability goals of the united nations will make all unsustainable products more expensive and sustainable products more competitive.,we should make healthy food cheaper than unhealthy food.,in favour of,in favour of,in favour of,in favour of
21,public defenders help protect peoples rights.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
22,"no doctor should take part in killing , it is their job to heal.",assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
23,blockading the gaza strip is no longer necessary as both sides have come to an agreement.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
24,it can help give a child from a broken home a more stable environment in which they can live a better life.,foster care brings more harm than good.,against,against,in favour of,against
25,"intelligence tests limit the possibilities because they are not able to show potential, just current knowledge.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
26,assisted suicide is murder of another and should be considered a criminal offence.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
27,intelligence tests bring more good than harm because they let an individual know exactly what their potential is and can take learning paths accordingly.,intelligence tests bring more harm than good.,against,against,against,in favour of
28,the civilians in gaza are suffering for the standoff between israel and hamas and the situation only adds to the opposition against israel in the long term. the only way ahead is to find a better solution.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
29,holocaust denial should not be a criminal offence because it would be an infringement of the right to free speech.,holocaust denial should be a criminal offence.,against,against,in favour of,against
30,"celibacy holds many virtues, offers protection from disease as well as prevents unwanted pregnancies.",the vow of celibacy should be abandoned.,against,against,against,against
31,payday loans should be banned because they are not held to the same standards as loans for middle class people.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
32,not everyone can has the academic requirements for university education. we do still need vocational trades and skills and it makes sense to support people seeking to gain these skills.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
33,denying that millions of people died and suffered should require those people to be punished for their beliefs.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
34,"social media itself is not the cause of the negative consequences, it is human nature. the platform merely provides unrivaled access to information and potential connections with other people.",social media brings more harm than good.,against,against,against,against
35,"this blockade is not effective, actually have reverse effect because it only hurts the citizens there especially the poor so will make the palestinian retaliate more against israel.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
36,some foster carers are doing it just for the money and don't really care about the children.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
37,hamas is too dangerous to allow in & the blockade should continue.,blockade of the gaza strip should be ended.,against,against,in favour of,in favour of
38,iq tests allows students to understand and focus on their intellectual strengths.,intelligence tests bring more harm than good.,against,against,against,against
39,they should not be used as sometimes the money is never repaid.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
40,the use of public defenders should not be mandatory because a lot of them are not well versed in law.,the use of public defenders should be mandatory.,against,against,in favour of,against
41,in the united states of america we believe in free speech and any person is allowed to believe what they choose to.,holocaust denial should be a criminal offence.,against,against,against,against
42,surrogacy allows women to have a child who would not otherwise be able to become a mother.,surrogacy should be banned.,against,against,against,against
43,"'people highlight various risks, but any generation technology comes with risks: the largest electricity-related disaster (banquiao dam in 1976) took the lives of 200000 people (!) or just recently 70 people in russia, but nobody talks about hydropower being 'deadly' or complaining about states providing insurance for such massive projects, because it happens for all projects of such scale. .",we should promote the use of nuclear energy instead of renewable energy sources.,in favour of,against,in favour of,against
44,frontex must be given powers and resources to shut down the migratory routes entirely.,we should strengthen frontex and control immigration.,in favour of,in favour of,in favour of,in favour of
45,vocational education is extremely important to this country.   kids learning a trade  will later be able to get a job using what they learned.   government should help schools financially cover these costs.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
46,supporting short-distance economies can help kick off the development of localized small-scale economies.,we should support short-distance economies.,in favour of,in favour of,in favour of,in favour of
47,"while it is only promoted/suggested and not a mandatory, its ok.",we should promote a plant-based diet.,in favour of,against,in favour of,in favour of
48,"dna has got nothing to do with spirituality. it is made up of nitrogen, oxygen, carbon, and hydrogen - the very same elements that make up the majority atmosphere. it is just as godlike as is the air around us.",human gene editing is a good thing.,in favour of,against,in favour of,against
49,"television is an outdated modality that lures people into inactive passivity, it is dangerous to well-being and should be banned.",we should abandon television.,in favour of,in favour of,in favour of,in favour of
50,"experts have been discussing that the two major threats in front of us are climate change and nuclear weapons. and they have been urging for complete disarmament. to some extent they are right. when a nuclear bomb will explode the surface will become hotter than the sun and apart from the mass destruction and deaths, the generations of people and animals who survive will perish for many decades. reports say that almost 2000 nuclear weapons are kept on high alert throughout the year. any misunderstanding or miscommunication can lead to a disaster, and with the impulsive leadership we are seeing around the world possibilities are higher than before. the bulletin of the atomic scientists advanced the symbolic doomsday clock by 30 seconds in february, which indicates how world leaders are failing in maintaining peace.",nuclear disarmament is necessary.,in favour of,in favour of,in favour of,in favour of
51,they hold a very high title to which they agreed to be held by all rules.,the vow of celibacy should be abandoned.,against,against,against,against
52,surrogacy can create long term emotional harms when women are separated from their children.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
53,"denying the holocaust is an insult to those who lived through it, those who have family that were affected by it, and those that still deal with its effects today.",holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
54,intelligence tests unfairly punish intelligent people who are not good test takers.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
55,"foster children do not always get proper medical care. foster kids are covered medically under medicaid but each year, fewer and fewer healthcare providers accept medicaid.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
56,"belarus, russia, and ukraine are by far the most important neighbors of the eu. a good relationship with all three is very desirable for the eu. for that, we would have to be willing to understand their history better.",we should shift the eu policy toward the russian federation.,in favour of,in favour of,in favour of,in favour of
57,with the rising cost of college tuition vocational education is becoming a more attractive option & should be subsidized.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
58,a person has their right to their own opinion and making denial of the holocaust a criminal offense takes away the rights of that person.,holocaust denial should be a criminal offence.,against,against,in favour of,against
59,the vow of celibacy should not be abandoned because if people honor this there would be less deceased in the world.,the vow of celibacy should be abandoned.,against,against,against,against
60,"i am concerned about the source of some cotton, which is produced in chinese detention camps. a unified eu mark of ethical & environmental principles would be a nice thing to have when deciding what to buy.",we should speak about the ongoing genocide in china.,in favour of,in favour of,in favour of,in favour of
61,social media provides an easy and anonymous way for bullies to do their worst.,social media brings more harm than good.,in favour of,in favour of,against,against
62,homeschooling can lead to children not knowing the curriculum and therefore struggling in later life.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
63,payday loans are sometimes the only resort people have to turn to to avoid becoming homeless or having their utilities disconnected.,payday loans should be banned.,against,against,against,against
64,"this can be used to eliminate fake voter cards. moreover, some people have voter cards in 2 or more areas. these duplicate voter cards can be eliminated by linking aadhaar cards with voter ids.",we should link aadhaar card with the voter id.,in favour of,in favour of,in favour of,in favour of
65,i thinkwe should abandon television only social and educational.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
66,"results from homeschooling children are equally as good as those achieved from state schools, and sometimes this can be the only option for a youngster with complex emotional needs.",homeschooling should be banned.,against,against,against,against
67,foster care is not a stable environment for children. children are bounced around foster homes to foster home often suffering horrible abuses from people who do not care about their well being.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
68,there are no proven scientific studies that can back up the positive effects of homeopathic remedies.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
69,public defenders are an important part of the judicial system are necessary for those who cannot afford their own attorney.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
70,"the use of public defenders should be mandatory so that public defenders are no long stigmatized, which will make them more effective.",the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
71,"civic technologies can support the co-creation, co-production, and co-management of public services with citizens and the development of the urban commoning approach.",we should promote collaborative civic technologies for enhancing citizen participation as an added value to collaborative urban processes.,in favour of,in favour of,in favour of,in favour of
72,foster care damages a child growing up.   not having the love from the birth mother and father will cause a child to grow up depressed.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
73,celibacy is connection to the god and any banning on it would be sin and should not be touched.,the vow of celibacy should be abandoned.,against,against,against,against
74,intelligence tests help teachers to learn how best to teach certain students and are essential in this environment.,intelligence tests bring more harm than good.,against,against,against,against
75,"even if you are convicted of a crime because of entrapment, your intention existed to commit a crime, and when determining guilt and punishment intention is ultimately the most important factor.",entrapment should be legalized.,in favour of,against,in favour of,in favour of
76,the blockade of gaza is a crime against humanity and should be stopped as soon as possible.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
77,"people dont always know whats best for them, so they shouldnt be representing themselves.",the use of public defenders should be mandatory.,in favour of,against,in favour of,against
78,"many people are dying of hunger in india. hunger and malnutrition are the biggest problems india is facing right now. beef is a cheap protein available to poor people. with the cattle slaughter ban, the malnutrition problem worsens further.",cattle slaughter should be banned.,against,against,in favour of,in favour of
79,"subsidizing big agricultural companies is not the problem here, it's the criteria by which the subsidies are distributed.",we should not subsidize large agricultural groups.,against,against,against,against
80,homeschooling is an excellent alternative to public schools for those parents who value family values.,homeschooling should be banned.,against,against,against,against
81,to protect those who do not understand the law the use of public defenders should be mandatory.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
82,homeopathy allows too many unqualified people to use anything they want to try and help people and it can result in people being taken advantage of.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
83,many people have been let down by surrogates that change their minds about handing over the baby and pocketing the money paid for expenses that it is obvious that lack of regulation means it should be banned.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
84,public defenders ensure the common man has a chance of a fair trial.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
85,children with behavioral problems could not adapt well to new homes.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
86,"surrogacy is often the only means whereby some couples, such as gay or infertile couples, can have a family of their own that is at least in part genetically related to them.",surrogacy should be banned.,against,against,against,against
87,the use of public defenders should be mandatory in order to make wealthy people invested in the success of the public defender system.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
88,foster care can be horrible for the child when moving from home to home and never settling down in one place.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
89,this is a free country. people have the choice to watch tv or not.,we should abandon television.,against,against,against,against
90,social media helps to enable bullying.,social media brings more harm than good.,in favour of,in favour of,against,in favour of
91,"integrating one non-western immigrant cost ca. euro 167,000,-. who will be paying that ?.",we should sponsor the general population for taking in migrants.,against,against,in favour of,against
92,homeschooling cannot provide the quality of education that real teachers and a real school can provide.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
93,"television for many people is their connection to the outside world and should not be abandoned,.",we should abandon television.,against,against,against,against
94,"intelligence tests are but one way to give teachers a means to see if a child needs special courses.  an entire course of instruction is not based on just one test, it is only one tool.",intelligence tests bring more harm than good.,against,in favour of,against,against
95,social media provides an easy way for people to bully others without having to face the person they are bullying.,social media brings more harm than good.,in favour of,in favour of,against,against
96,surrogacy gives those who can't have children a way to have them.,surrogacy should be banned.,against,against,against,against
97,allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
98,we should not abandon television because it helps us to experience what is happening in the world and also provides entertainment.,we should abandon television.,against,against,against,against
99,a surrogate carrying a baby could try to keep it since they gave birth to it.,surrogacy should be banned.,in favour of,against,against,against
100,assisted suicide is just another word for murder.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
101,entrapment is an unjust form of capturing criminals as it is tempting someone to do something wrong.,entrapment should be legalized.,against,against,in favour of,against
102,"free speech can't be restricted and people are allowed to believe what they want, it doesn't harm anyone else for one person to think the holocaust wasn't real.",holocaust denial should be a criminal offence.,against,against,against,against
103,there are widespread protests against the imposition of hindi because non-hindi speaking states are much more comfortable with english than hindi.,hindi should be the national language of india.,against,against,in favour of,against
104,surrogacy often enables one or both intended parents to have a genetic connection to their child.,surrogacy should be banned.,against,against,against,against
105,no one should be punished because he or she doesn't believe something.,holocaust denial should be a criminal offence.,against,against,in favour of,in favour of
106,foster care is simply a band-aid over the real issues and doesn't provide a remedy to the problem that is obviously in need.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
107,surrogacy can put women in danger because pregnancy is unpredictable.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
108,mandating the use of public defenders ensures a fair trial for all.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
109,"while the events of the holocaust are awful, questioning whether or not it actually happened shouldn't be punishable by prison time.",holocaust denial should be a criminal offence.,against,against,in favour of,against
110,"makes sense to me, its easy to learn and doesn't come with any nationalist baggage.","we should teach esperanto, a common and neutral language, at all european schools.",in favour of,in favour of,in favour of,in favour of
111,"europeans must embrace true values that enhance life and standards of living.  anything related to drugs, in whatever form, degenerates humanity.  soon enough we will be legalizing 'theft' in an effort to improve gdp and growth, as european colonialists have done in africa and asia where oppression and exploitation ruled. .",we should legalize cannabis in the whole eu.,against,against,in favour of,in favour of
112,surrogacy contributes to emotional issues such as having to part with a child carried for nine months and then the possibility of post-partum depression enhanced with not having the child with them.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
113,in some cases we can't be certain if the person truly wanted to die. some people could use assisted suicide as a way to remove someone they believe is burden.,assisted suicide should be a criminal offence.,in favour of,against,in favour of,against
114,home education is equal to or better than in institutions.,homeschooling should be banned.,against,against,against,against
115,history is what is related to us from other people. we can not really know if it has really happened. denying the right not to believe this fact shouldn't be criminalized as people are freethinkers.,holocaust denial should be a criminal offence.,against,against,in favour of,against
116,it should not a criminal offence as it is just an opinion rather than actually committing a crime.,holocaust denial should be a criminal offence.,against,against,in favour of,against
